                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7097,                0.85755,                 1.2252,                0.02781,                 0.3012,                0.01814,                0.00793,                 2.3791,                 30.177,                 1.8393,             0.00035197,             0.00035197,             0.00035197
                     35,                  1.731,                0.84485,                 1.2638,                0.05014,                    0.5,                0.03762,                0.01576,                 2.3429,                 25.159,                 1.7889,             0.00035302,             0.00035302,             0.00035302
                     36,                 1.6754,                0.77886,                 1.1826,                0.05014,                    0.5,                0.03762,                0.01576,                 2.3429,                 25.159,                 1.7889,              0.0003535,              0.0003535,              0.0003535
                     37,                 1.7619,                0.83296,                 1.2721,                0.11232,                0.53614,                0.08365,                0.03148,                 2.3967,                 10.857,                 1.8137,             0.00035342,             0.00035342,             0.00035342
                     38,                 1.7292,                0.78293,                 1.2365,                0.11232,                0.53614,                0.08365,                0.03148,                 2.3967,                 10.857,                 1.8137,             0.00035277,             0.00035277,             0.00035277
                     39,                 1.7422,                 0.7785,                 1.2968,                0.02431,                0.25301,                0.01516,                0.00648,                 2.2876,                 51.432,                  1.736,             0.00035155,             0.00035155,             0.00035155
                     40,                  1.801,                 0.8834,                 1.2548,                0.02431,                0.25301,                0.01516,                0.00648,                 2.2876,                 51.432,                  1.736,             0.00034977,             0.00034977,             0.00034977
                     41,                 1.7748,                0.89427,                 1.2129,                0.02833,                0.30723,                0.01857,                0.00797,                 2.4184,                    inf,                 1.8084,             0.00034743,             0.00034743,             0.00034743
                     42,                 1.7325,                0.84794,                 1.2161,                0.02833,                0.30723,                0.01857,                0.00797,                 2.4184,                    inf,                 1.8084,             0.00034452,             0.00034452,             0.00034452
                     43,                 1.6454,                0.81563,                 1.2027,                0.11551,                0.49643,                 0.0875,                0.02951,                 2.5012,                 11.812,                 1.8825,             0.00034104,             0.00034104,             0.00034104
                     44,                  1.676,                0.74183,                 1.1821,                0.11551,                0.49643,                 0.0875,                0.02951,                 2.5012,                 11.812,                 1.8825,               0.000337,               0.000337,               0.000337
                     45,                 1.7383,                0.80789,                 1.2978,                0.11012,                0.63253,                0.09359,                0.03224,                 2.3708,                  14.62,                 1.7795,             0.00033239,             0.00033239,             0.00033239
                     46,                 1.6708,                0.78544,                 1.2131,                0.11012,                0.63253,                0.09359,                0.03224,                 2.3708,                  14.62,                 1.7795,             0.00032721,             0.00032721,             0.00032721
                     47,                 1.7394,                0.86422,                  1.286,                0.02964,                0.29518,                0.01923,                0.00806,                 2.2702,                    inf,                   1.71,             0.00032147,             0.00032147,             0.00032147
                     48,                 1.7442,                0.77097,                  1.307,                0.02964,                0.29518,                0.01923,                0.00806,                 2.2702,                    inf,                   1.71,             0.00031517,             0.00031517,             0.00031517
                     49,                 1.6815,                 0.7534,                 1.2522,                0.20283,                0.68675,                0.17302,                0.06543,                 2.2355,                 3.8128,                 1.6863,              0.0003083,              0.0003083,              0.0003083
                     50,                 1.7102,                0.77987,                 1.2601,                0.20283,                0.68675,                0.17302,                0.06543,                 2.2355,                 3.8128,                 1.6863,             0.00030086,             0.00030086,             0.00030086
                     51,                 1.6388,                0.76992,                 1.1808,                 0.7597,                0.68564,                0.69546,                0.25718,                 2.3273,                 1.2568,                 1.7935,             0.00029286,             0.00029286,             0.00029286
                     52,                 1.6618,                0.75433,                 1.1975,                 0.7597,                0.68564,                0.69546,                0.25718,                 2.3273,                 1.2568,                 1.7935,             0.00028429,             0.00028429,             0.00028429
                     53,                 1.7271,                0.77662,                 1.2192,                 0.7597,                0.68564,                0.69546,                0.25718,                 2.3273,                 1.2568,                 1.7935,             0.00027515,             0.00027515,             0.00027515
                     54,                 1.7629,                0.76204,                 1.2882,                0.79495,                0.75301,                0.78005,                0.28914,                 2.3065,                  1.203,                 1.7854,             0.00026545,             0.00026545,             0.00026545
                     55,                 1.5904,                0.69855,                 1.1892,                0.79495,                0.75301,                0.78005,                0.28914,                 2.3065,                  1.203,                 1.7854,             0.00025519,             0.00025519,             0.00025519
                     56,                 1.6674,                0.72596,                  1.228,                0.79495,                0.75301,                0.78005,                0.28914,                 2.3065,                  1.203,                 1.7854,             0.00024436,             0.00024436,             0.00024436
                     57,                 1.5844,                0.70191,                 1.1933,                0.84663,                0.79518,                0.81997,                0.29934,                 2.2544,                 1.1494,                 1.7402,             0.00023296,             0.00023296,             0.00023296
                     58,                 1.6452,                0.71172,                 1.1474,                0.84663,                0.79518,                0.81997,                0.29934,                 2.2544,                 1.1494,                 1.7402,               0.000221,               0.000221,               0.000221
                     59,                 1.6865,                0.73219,                 1.1875,                0.84663,                0.79518,                0.81997,                0.29934,                 2.2544,                 1.1494,                 1.7402,             0.00020847,             0.00020847,             0.00020847
                     60,                 1.5745,                0.70769,                 1.2382,                0.82332,                 0.8253,                  0.807,                0.30106,                  2.214,                 1.0751,                 1.6954,             0.00019537,             0.00019537,             0.00019537
                     61,                  1.694,                0.73241,                 1.2402,                0.82332,                 0.8253,                  0.807,                0.30106,                  2.214,                 1.0751,                 1.6954,             0.00018171,             0.00018171,             0.00018171
                     62,                  1.686,                0.72581,                 1.3215,                0.82332,                 0.8253,                  0.807,                0.30106,                  2.214,                 1.0751,                 1.6954,             0.00016749,             0.00016749,             0.00016749
                     63,                 1.6873,                 0.7342,                 1.2454,                 0.8552,                0.81928,                0.82659,                0.31255,                 2.2023,                 1.0057,                 1.6808,              0.0001527,              0.0001527,              0.0001527
